Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Variety's Transformations: Digitizing and Analyzing the First Thirty-Five Years of the Canonical Trade Paper.","HOYT, ERIC; LONG, DEREK; TRAN, TONY; HUGHES, KIT","Film History",="08922160",,="Dec2015","27","4","76","30","112350418","10.2979/filmhistory.27.4.76","Indiana University Press","Article","Digitization of archival materials; Digital humanities; Philology; Content analysis; Variety (Periodical)","content analysis; Digital Humanities; distant reading; Hollywood trade press; philology; Variety","This article details a major digitization and access project to make Variety's run from 1905 to 1940 freely available online. It uses multiple quantitative research methods-- including distant-reading practices of the Digital Humanities and quantitative content analysis--to argue that Variety's decisions about when and how to cover the film and radio industries need to be understood as a series of specific internal strategies made in relation to a dynamic business environment. Situating the project's digitization of Variety as a form of philology, the authors argue that corpus digitization should be considered a scholarly practice, not simply a technical one. [ABSTRACT FROM AUTHOR] Copyright of Film History is the property of Indiana University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asu&AN=112350418&site=ehost-live"
"VIAN: A Visual Annotation Tool for Film Analysis.","Halter, Gaudenz; Ballester‐Ripoll, Rafael; Flueckiger, Barbara; Pajarola, Renato","Computer Graphics Forum",="01677055",,="Jun2019","38","3","119","11","137771610","10.1111/cgf.13676","Wiley-Blackwell","Article","FILMMAKING; DIGITAL humanities; ANALYSIS of colors; MOTION pictures; ANNOTATIONS; DRUG labeling; Motion Picture and Video Production","•Applied computing → Media arts; CCS Concepts; Human‐centered computing → Visualization systems and tools","While color plays a fundamental role in film design and production, existing solutions for film analysis in the digital humanities address perceptual and spatial color information only tangentially. We introduce VIAN, a visual film annotation system centered on the semantic aspects of film color analysis. The tool enables expert‐assessed labeling, curation, visualization and Classification of color features based on their perceived context and aesthetic quality. It is the first of its kind that incorporates foreground‐background information made possible by modern deep learning segmentation methods. The proposed tool seamlessly integrates a multimedia data management system, so that films can undergo a full color‐oriented analysis pipeline. [ABSTRACT FROM AUTHOR] Copyright of Computer Graphics Forum is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=137771610&site=ehost-live"
"Vicissitudes of the Cyber.","Dorland, Michael","Canadian Journal of Communication",="07053657",,="2015","40","3","367","3","109198440",,"University of Toronto Press","Article","CYBERBULLYING; CYBERSPACE; DIGITAL humanities",,"An introduction is presented in which the author discusses various reports within the issue on topics including the routine activities theory in cyberbullying, discourse analysis on cyberconflict, and digital humanities.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=109198440&site=ehost-live"
"'Victory or Siberia': Imaginings of Siberia and the Memory of German POWs in the USSR*.","Grunewald, Susan","German History",="02663554",,="Mar2022","40","1","88","19","155188802","10.1093/gerhis/ghab088","Oxford University Press / USA","Article","PRISONERS of war; WORLD War I; GEOGRAPHIC information systems; WORLD War II; DIGITAL humanities; MEMORY; SOVIET Union; SIBERIA (Russia); RUSSIA",,"This article explores the memory of German prisoners of war (POWs) from the Second World War in the USSR. The article first identifies the trope of Siberian captivity, which it refutes using two digital humanities methods: geographic information system (GIS) mapping and text analysis. The article then raises a series of factors, covering both experiences, memoirs and novels of First World War captivity in Russia and also Nazi propaganda, to show a long-standing association between Siberia and German captivity in Russia and the Soviet Union. Finally, the article explores West German politics and memory culture to argue ultimately that the trope of Siberian captivity persisted as a result of West German anti-Communist policies and an attempt to displace blame and complicity for the war. While German memory changed between the 1950s and the present and although scholars have worked to expose many misrepresentations of the war that started in West Germany in the 1950s, this is the first study to examine the idea of Siberian captivity and its links to POWs in the USSR. [ABSTRACT FROM AUTHOR] Copyright of German History is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=155188802&site=ehost-live"
"Virtual reality in the HE classroom: feasibility, and the potential to embed in the curriculum.","Detyna, Michael; Kadiri, Margaret","Journal of Geography in Higher Education",="03098265",,="Aug2020","44","3","474","12","144826956","10.1080/03098265.2019.1700486","Taylor & Francis Ltd","Article","VIRTUAL reality; STUDENT engagement; GEOGRAPHY education; DIGITAL humanities; GOOGLE Earth (Web resource)","Google Earth; student engagement; student learning; Virtual reality","Learner engagement is a challenge within Geography education, and Higher Education more generally and immersive Virtual Reality (VR) has a wealth of possibilities, but finding simple, straightforward applications that are also pedagogically worthwhile can be a challenge. Three trial runs of full earth simulations in VR in classroom environments were conducted using high-end VR hardware. The trials were conducted with Geography and Digital Humanities students and the aim was to evaluate the use of immersive VR would enhance learner engagement. The technology acceptance model was used to some extent to get appropriate survey data and an inductive approach to thematic analysis was applied. Based on the data collected there seemed a reasonable evidence base that students found the tool relatively easy to use and it enhanced their understanding and engagement. The findings are in line with those of previous studies which show that immersive VR environments create a strong sense of perceived presence which leads to higher learner engagement and motivation. Challenges for greater adoption are also presented. [ABSTRACT FROM AUTHOR] Copyright of Journal of Geography in Higher Education is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=144826956&site=ehost-live"
"Visions and open challenges for a knowledge-based culturomics.","Tahmasebi, Nina; Borin, Lars; Capannini, Gabriele; Dubhashi, Devdatt; Exner, Peter; Forsberg, Markus; Gossen, Gerhard; Johansson, Fredrik; Johansson, Richard; Kågebäck, Mikael; Mogren, Olof; Nugues, Pierre; Risse, Thomas","International Journal on Digital Libraries",="14325012",,="Apr2015","15","2-4","169","19","101760291","10.1007/s00799-015-0139-1","Springer Nature","Article","DIGITAL humanities; EXPERT systems; LANGUAGE & culture; SEMANTIC networks (Information theory); INFORMATION & communication technologies; STATISTICS","Culturomics; Digital humanities; eInfrastructure; eScience; Knowledge-based analysis; Natural language processing; Statistical analysis; Temporal text analysis","The concept of culturomics was born out of the availability of massive amounts of textual data and the interest to make sense of cultural and language phenomena over time. Thus far however, culturomics has only made use of, and shown the great potential of, statistical methods. In this paper, we present a vision for a knowledge-based culturomics that complements traditional culturomics. We discuss the possibilities and challenges of combining knowledge-based methods with statistical methods and address major challenges that arise due to the nature of the data; diversity of sources, changes in language over time as well as temporal dynamics of information in general. We address all layers needed for knowledge-based culturomics, from natural language processing and relations to summaries and opinions. [ABSTRACT FROM AUTHOR] Copyright of International Journal on Digital Libraries is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=101760291&site=ehost-live"
"Visions and open challenges for a knowledge-based culturomics.","Tahmasebi, Nina; Borin, Lars; Capannini, Gabriele; Dubhashi, Devdatt; Exner, Peter; Forsberg, Markus; Gossen, Gerhard; Johansson, Fredrik; Johansson, Richard; Kågebäck, Mikael; Mogren, Olof; Nugues, Pierre; Risse, Thomas","International Journal on Digital Libraries",="14325012",,="Apr2015","15","2-4","169","19","101760291","10.1007/s00799-015-0139-1","Springer Nature","Article","Expert systems; Semantic networks (Information theory); Information & communication technologies; Digital humanities; Language & culture; Statistics","Culturomics; eInfrastructure; eScience; Knowledge-based analysis; Natural language processing; Statistical analysis; Temporal text analysis","The concept of culturomics was born out of the availability of massive amounts of textual data and the interest to make sense of cultural and language phenomena over time. Thus far however, culturomics has only made use of, and shown the great potential of, statistical methods. In this paper, we present a vision for a knowledge-based culturomics that complements traditional culturomics. We discuss the possibilities and challenges of combining knowledge-based methods with statistical methods and address major challenges that arise due to the nature of the data; diversity of sources, changes in language over time as well as temporal dynamics of information in general. We address all layers needed for knowledge-based culturomics, from natural language processing and relations to summaries and opinions. [ABSTRACT FROM AUTHOR] Copyright of International Journal on Digital Libraries is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=101760291&site=ehost-live"
"Visual Text Analysis in Digital Humanities.","Jänicke, S.; Franzini, G.; Cheema, M. F.; Scheuermann, G.","Computer Graphics Forum",="01677055",,="Sep2017","36","6","226","25","124865748","10.1111/cgf.12873","Wiley-Blackwell","Article","Visual perception; Data Processing, Hosting, and Related Services; Digital humanities; Electronic data processing; Visual texture recognition; Data transformations (Statistics)","close reading; digital humanities; distant reading; H.5.2 Information Interfaces and Presentation: User Interfaces–Evaluation/methodology; H.5.2 [Information Interfaces and Presentation]: User Interfaces-Evaluation/methodology; survey; visual text analysis","In 2005, Franco Moretti introduced Distant Reading to analyse entire literary text collections. This was a rather revolutionary idea compared to the traditional Close Reading, which focuses on the thorough interpretation of an individual work. Both reading techniques are the prior means of Visual Text Analysis. We present an overview of the research conducted since 2005 on supporting text analysis tasks with close and distant reading visualizations in the digital humanities. Therefore, we classify the observed papers according to a taxonomy of text analysis tasks, categorize applied close and distant reading techniques to support the investigation of these tasks and illustrate approaches that combine both reading techniques in order to provide a multi-faceted view of the textual data. In addition, we take a look at the used text sources and at the typical data transformation steps required for the proposed visualizations. Finally, we summarize collaboration experiences when developing visualizations for close and distant reading, and we give an outlook on future challenges in that research area. [ABSTRACT FROM AUTHOR] Copyright of Computer Graphics Forum is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asu&AN=124865748&site=ehost-live"
"Visual Text Analysis in Digital Humanities.","Jänicke, S.; Franzini, G.; Cheema, M. F.; Scheuermann, G.","Computer Graphics Forum",="01677055",,="Sep2017","36","6","226","25","124865748","10.1111/cgf.12873","Wiley-Blackwell","Article","DIGITAL humanities; ELECTRONIC data processing; VISUAL texture recognition; VISUAL perception; DATA transformations (Statistics); Data Processing, Hosting, and Related Services","close reading; digital humanities; distant reading; H.5.2 Information Interfaces and Presentation: User Interfaces–Evaluation/methodology; H.5.2 [Information Interfaces and Presentation]: User Interfaces-Evaluation/methodology; survey; visual text analysis","In 2005, Franco Moretti introduced Distant Reading to analyse entire literary text collections. This was a rather revolutionary idea compared to the traditional Close Reading, which focuses on the thorough interpretation of an individual work. Both reading techniques are the prior means of Visual Text Analysis. We present an overview of the research conducted since 2005 on supporting text analysis tasks with close and distant reading visualizations in the digital humanities. Therefore, we classify the observed papers according to a taxonomy of text analysis tasks, categorize applied close and distant reading techniques to support the investigation of these tasks and illustrate approaches that combine both reading techniques in order to provide a multi-faceted view of the textual data. In addition, we take a look at the used text sources and at the typical data transformation steps required for the proposed visualizations. Finally, we summarize collaboration experiences when developing visualizations for close and distant reading, and we give an outlook on future challenges in that research area. [ABSTRACT FROM AUTHOR] Copyright of Computer Graphics Forum is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=124865748&site=ehost-live"
"Visualizing History in the Classroom: A Faculty-Librarian Partnership in the Digital Age.","Lach, Pamella R.; Pollard, Elizabeth A.","New Review of Academic Librarianship",="13614533",,="Apr-Dec2019","25","2-4","335","22","141314697","10.1080/13614533.2019.1627562","Taylor & Francis Ltd","Article","Digital humanities; Scaffolded instruction; History; Classrooms; Teaching","Collaboration; digital humanities; evidence-based practice; pedagogy; visualization","Productive, equitable, and reciprocal librarian-faculty partnerships are difficult to establish for a range of reasons. This case study describes a long-term collaboration between a Digital Humanities (DH) librarian and a History professor. We trace our two-year partnership from inception and test-run in a small undergraduate seminar to a scaled-up and carefully-designed DH intervention for visualizing spatial and temporal historical arguments in a course with three times the number of students. The article chronicles our process and analyzes the data from the assessment model we designed for reflecting on the efficacy of the intervention and the success of the partnership. Our collaborative model suggests the value of a partnership built over time, based on shared pedagogical values (in this case, student learning outcome-driven pedagogy and scaffolded instruction) and transparent labor practices. [ABSTRACT FROM AUTHOR] Copyright of New Review of Academic Librarianship is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=141314697&site=ehost-live"
"Visualizing History in the Classroom: A Faculty-Librarian Partnership in the Digital Age.","Lach, Pamella R.; Pollard, Elizabeth A.","New Review of Academic Librarianship",="13614533",,="Apr-Dec2019","25","2-4","335","22","141314697","10.1080/13614533.2019.1627562","Taylor & Francis Ltd","Article","Digital humanities; Scaffolded instruction; History; Classrooms; Teaching","Collaboration; digital humanities; evidence-based practice; pedagogy; visualization","Productive, equitable, and reciprocal librarian-faculty partnerships are difficult to establish for a range of reasons. This case study describes a long-term collaboration between a Digital Humanities (DH) librarian and a History professor. We trace our two-year partnership from inception and test-run in a small undergraduate seminar to a scaled-up and carefully-designed DH intervention for visualizing spatial and temporal historical arguments in a course with three times the number of students. The article chronicles our process and analyzes the data from the assessment model we designed for reflecting on the efficacy of the intervention and the success of the partnership. Our collaborative model suggests the value of a partnership built over time, based on shared pedagogical values (in this case, student learning outcome-driven pedagogy and scaffolded instruction) and transparent labor practices. [ABSTRACT FROM AUTHOR] Copyright of New Review of Academic Librarianship is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=141314697&site=ehost-live"
"Visualizing History in the Classroom: A Faculty-Librarian Partnership in the Digital Age.","Lach, Pamella R.; Pollard, Elizabeth A.","New Review of Academic Librarianship",="13614533",,="Apr-Dec2019","25","2-4","335","22","141314697","10.1080/13614533.2019.1627562","Taylor & Francis Ltd","Article","DIGITAL humanities; SCAFFOLDED instruction; HISTORY; CLASSROOMS; TEACHING","Collaboration; digital humanities; evidence-based practice; pedagogy; visualization","Productive, equitable, and reciprocal librarian-faculty partnerships are difficult to establish for a range of reasons. This case study describes a long-term collaboration between a Digital Humanities (DH) librarian and a History professor. We trace our two-year partnership from inception and test-run in a small undergraduate seminar to a scaled-up and carefully-designed DH intervention for visualizing spatial and temporal historical arguments in a course with three times the number of students. The article chronicles our process and analyzes the data from the assessment model we designed for reflecting on the efficacy of the intervention and the success of the partnership. Our collaborative model suggests the value of a partnership built over time, based on shared pedagogical values (in this case, student learning outcome-driven pedagogy and scaffolded instruction) and transparent labor practices. [ABSTRACT FROM AUTHOR] Copyright of New Review of Academic Librarianship is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=141314697&site=ehost-live"
"Visualizing oral histories: A lab model using multimedia DH to incorporate ACRL framework standards into liberal arts education.","White, Krista","College & Undergraduate Libraries",="10691316",,="Apr-Dec2017","24","2-4","393","25","126288235","10.1080/10691316.2017.1325722","Taylor & Francis Ltd","Article","Graphic novels; Librarians; Association of College & Research Libraries; Digital humanities; English literature","ACRL framework; course models; digital humanities; digital natives; embedded librarianship; information literacy","Visualizing Oral Histories: Comics and Graphic Novels/Digital Humanities Lab, is a new model for digital humanities scholarship that other librarians can follow to create and teach similar DH labs attached to humanities courses at other institutions. The model includes a preliminary syllabus and preliminary assignment rubrics designed to integrate the Association of College and Research Libraries (ACRL) “Framework for Information Literacy for Higher Education” (ACRL Framework) into course assignments. Incorporation of a DH lab into a humanities course curriculum reimagines librarian roles and creates a pedagogical strategy that explicitly incorporates information literacy standards into the undergraduate course curriculum. [ABSTRACT FROM AUTHOR] Copyright of College & Undergraduate Libraries is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=126288235&site=ehost-live"
"Webscapes: An academic vision for Digital Humanities Projects on the web.","ROBIN, BERNARD; MCNEIL, SARA","Book 2.0",="20428022",,="Oct2014","4","1/2","121","21","108559540","10.1386/btwo.4.1-2.121_1","Intellect Ltd.","Article","University of Houston; Data Processing, Hosting, and Related Services; Research and Development in the Social Sciences and Humanities; Digital humanities; Electronic data processing; Humanities research; Graduates","collaborative projects; community partners; digital humanities; digital storytelling; graduate students; instructional; technology; web design","An overarching goal of the Instructional Technology Programme at the University of Houston has been to help students in our graduate courses learn technology skills by involving them in web-based 'Digital Humanities Projects' with local non-profit organizations. In this article, we discuss the benefits and challenges associated with the collaborative design, development and evaluation of real-world projects with community stakeholders serving as clients. Over the past decade, we have developed and used Webscapes, a theoretical model that serves as the framework for the creation of these projects. We define Webscapes as information landscapes, delivered over the web, which include a rich variety of content; challenging, cognitive explorations; intuitive navigation structures; and user-oriented interfaces. We describe the characteristics of the model and include reflections from students and community partners about accomplishments and challenges they faced. We also provide examples and discussion of Webscape projects, several of which have been completed, two that are ongoing and one that is in the early stage of development. [ABSTRACT FROM AUTHOR] Copyright of Book 2.0 is the property of Intellect Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asu&AN=108559540&site=ehost-live"
"What are patterns in the humanities?","van den Akker, Chiel","Interdisciplinary Science Reviews",="03080188",,="Mar2018","43","1","74","13","128422738","10.1080/03080188.2017.1296265","Taylor & Francis Ltd","Article","PATTERN recognition; HUMANITIES; DIGITAL humanities; BIG data; HUMAN behavior; DENNETT, Daniel Clement, 1942-","big data; culturomics; digital humanities; distant reading; intentional stance; Patterns","This paper is concerned with patterns in past human behaviour, what they are, and how this relates to the detection of patterns in data by means of computation. Theorists have not given patterns the attention they deserve. Therefore it is far from clear what patterns are and to what purpose scholars may use them. This paper presents eight propositions on patterns which hold true for patterns found ‘by hand’ and patterns found ‘by computation’. One such is that a pattern is discernible in behaviour when we subject it to the intentional stance, as the philosopher Daniel Dennett argues. Here behaviour is part of an intentional system. This paper’s argument is that the patterns found ‘by computation’ too are part of an intentional system. To substantiate this claim this paper discusses two important examples of detecting computational patterns in the domain of the humanities. [ABSTRACT FROM AUTHOR] Copyright of Interdisciplinary Science Reviews is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=128422738&site=ehost-live"
"What are Research Infrastructures?","Anderson, Sheila","International Journal of Humanities & Arts Computing: A Journal of Digital Humanities",="17538548",,="Mar2013","7","1/2","4","20","91734921","10.3366/ijhac.2013.0078","Edinburgh University Press","Article","EUROPEAN Commission; HUMANITIES research; DIGITAL humanities; RESEARCH funding; RESEARCH implementation; ARCHIVISTS; LIBRARIANS; MUSEUM curators","Archives and libraries as infrastructure; Conceptualising Infrastructure; infinite archive; material infrastructure","This paper reflects on what research infrastructures are, suggesting that there are two dominant themes - one arising from the funding bodies postulating that research infrastructure development offers unprecedented opportunities to drive forward that which is new, which is innovative, and which drives competition and success; the other which suggests that infrastructure is subordinate, a substrate that supports the real work of research, and which becomes a thing that shifts into the background and is invisible. This paper argues that neither of these positions is wholly true or particularly helpful as we move to invest significant sums of money in digital research infrastructures. Instead, I propose that we need to view infrastructure as a material and experiential presence that is embedded in the practices and experience of research, which builds on and enhances that which already exists, that unites scholars with archivists, librarians, and museum curators, and that also finds a place for the amateur. Finally, and most importantly, I wish to argue that we must foreground the 'research' in 'research infrastructures'. concentrating less on the component parts of infrastructure and instead focusing on its relationship to research practices. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Humanities & Arts Computing: A Journal of Digital Humanities is the property of Edinburgh University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=91734921&site=ehost-live"
"What are Research Infrastructures?","Anderson, Sheila","International Journal of Humanities & Arts Computing: A Journal of Digital Humanities",="17538548",,="Mar2013","7","1/2","4","20","91734921","10.3366/ijhac.2013.0078","Edinburgh University Press","Article","HUMANITIES research; DIGITAL humanities; RESEARCH funding; RESEARCH implementation; ARCHIVISTS; LIBRARIANS; MUSEUM curators; EUROPEAN Commission; Research and Development in the Social Sciences and Humanities","Archives and libraries as infrastructure; Conceptualising Infrastructure; infinite archive; material infrastructure","This paper reflects on what research infrastructures are, suggesting that there are two dominant themes - one arising from the funding bodies postulating that research infrastructure development offers unprecedented opportunities to drive forward that which is new, which is innovative, and which drives competition and success; the other which suggests that infrastructure is subordinate, a substrate that supports the real work of research, and which becomes a thing that shifts into the background and is invisible. This paper argues that neither of these positions is wholly true or particularly helpful as we move to invest significant sums of money in digital research infrastructures. Instead, I propose that we need to view infrastructure as a material and experiential presence that is embedded in the practices and experience of research, which builds on and enhances that which already exists, that unites scholars with archivists, librarians, and museum curators, and that also finds a place for the amateur. Finally, and most importantly, I wish to argue that we must foreground the 'research' in 'research infrastructures'. concentrating less on the component parts of infrastructure and instead focusing on its relationship to research practices. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Humanities & Arts Computing: A Journal of Digital Humanities is the property of Edinburgh University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=91734921&site=ehost-live"
"What Can Libraries Learn From the Future of Public Media?","Kretz, Chris","Urban Library Journal",="19449674",,="2017","23","2","1","12","131238910",,"Urban Library Journal","Article","Public radio; Digital humanities","digital humanities; engagement; public broadcasting; public media; public radio","The world of public media has much in common with the world of libraries. Both are made up of outward-facing, civic-minded people and systems, mission-driven to educate, serve, and engage a diverse community of users. This paper examines the current state of public media, both radio and television, to outline the problems being faced, the debates within the profession, and the strategies being pursued to ensure relevance and effectiveness for the industry. Understanding how public media is adapting and innovating in response to changing user behaviors and technological disruption can help inform decision-making in libraries of all types. This paper also pinpoints areas where the mission of libraries and public media overlap, revealing opportunities for collaboration. [ABSTRACT FROM AUTHOR] Copyright of Urban Library Journal is the property of Urban Library Journal and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=131238910&site=ehost-live"
"What it Looks Like to this Bear: An Old Faulknerian Learns to Read Digitally.","Carothers, James B.","Mississippi Quarterly",="0026637X",,="Summer-Fall2015","68","3-4","480","6","126152403",,"Johns Hopkins University Press","Article","LITERATURE databases; DIGITAL humanities; ONLINE databases; DIGITIZATION; FAULKNER, William, 1897-1962",,"The author discusses the Digital Yoknapatawpha project created to document the works of writer William Faulkner and comments that the project approaches one of the most fluid literary texts written with the rigidity of the database. Topics discussed include the potential of the project to generate a global community of Faulkner readers, digital humanities, and the chance to read Faulkner's narratives closely.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=126152403&site=ehost-live"
"What the Rise of AI Means for Narrative Studies: A Response to “Why Computers Will Never Read (or Write) Literature” by Angus Fletcher","Chun, Jon; Elkins, Katherine","Narrative",="1538974X",,"January 1, 2022","30","1","104",,"202224124067",,"Ohio State University Press","journal article","literary theory and criticism; narrative theory; narrative structure; artificial intelligence; digital humanities",,,"https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=202224124067&site=ehost-live"
